Year,Category,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth Country,Sex,Organization Country,Disease,Diagnostic
1909,Physics,1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Hesse-Kassel (Germany),Male,"Alsace (then Germany, now France)",no,
1910,Chemistry,1/1,169,Individual,Otto Wallach,1847-03-27,Germany (Russia),Male,Germany,no,
1910,Medicine,1/1,304,Individual,Albrecht Kossel,1853-09-16,Mecklenburg (Germany),Male,Germany,no,
1910,Physics,1/1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Netherlands,Male,Netherlands,no,
1911,Chemistry,1/1,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Russian Empire (Poland),Female,France,no,
1911,Medicine,1/1,305,Individual,Allvar Gullstrand,1862-06-05,Sweden,Male,Sweden,no,
1911,Physics,1/1,16,Individual,Wilhelm Wien,1864-01-13,Prussia (Russia),Male,Germany,no,
1912,Chemistry,1/2,172,Individual,Victor Grignard,1871-05-06,France,Male,France,no,
1912,Chemistry,1/2,173,Individual,Paul Sabatier,1854-11-05,France,Male,France,no,
1912,Medicine,1/1,306,Individual,Alexis Carrel,1873-06-28,France,Male,United States of America,yes,Nazi racialism
1912,Physics,1/1,17,Individual,Nils Gustaf Dalén,1869-11-30,Sweden,Male,Sweden,no,
1913,Chemistry,1/1,174,Individual,Alfred Werner,1866-12-12,France,Male,Switzerland,no,
1913,Medicine,1/1,307,Individual,Charles Robert Richet,1850-08-26,France,Male,France,yes,"ESP, paranormal, dowsing, ghosts"
1913,Physics,1/1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Netherlands,Male,Netherlands,no,
1914,Chemistry,1/1,175,Individual,Theodore William Richards,1868-01-31,United States of America,Male,United States of America,no,
1914,Medicine,1/1,308,Individual,Robert Bárány,1876-04-22,Austria,Male,Austria,no,
1914,Physics,1/1,19,Individual,Max von Laue,1879-10-09,Germany,Male,Germany,no,
1915,Chemistry,1/1,176,Individual,Richard Martin Willstätter,1872-08-13,Germany,Male,Germany,no,
1915,Physics,1/2,20,Individual,Sir William Henry Bragg,1862-07-02,United Kingdom,Male,United Kingdom,no,
1915,Physics,1/2,21,Individual,William Lawrence Bragg,1890-03-31,Australia,Male,United Kingdom,no,
1917,Physics,1/1,22,Individual,Charles Glover Barkla,1877-06-07,United Kingdom,Male,United Kingdom,no,
1918,Chemistry,1/1,177,Individual,Fritz Haber,1868-12-09,Prussia (Poland),Male,Germany,no,
1918,Physics,1/1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Schleswig (Germany),Male,Germany,no,
1919,Medicine,1/1,309,Individual,Jules Bordet,1870-06-13,Belgium,Male,Belgium,no,
1919,Physics,1/1,24,Individual,Johannes Stark,1874-04-15,Germany,Male,Germany,no,
1920,Chemistry,1/1,178,Individual,Walther Hermann Nernst,1864-06-25,Prussia (Germany),Male,Germany,no,
1920,Medicine,1/1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Denmark,Male,Denmark,no,
1920,Physics,1/1,25,Individual,Charles Edouard Guillaume,1861-02-15,Switzerland,Male,France,no,
1921,Chemistry,1/1,179,Individual,Frederick Soddy,1877-09-02,United Kingdom,Male,United Kingdom,no,
1921,Physics,1/1,26,Individual,Albert Einstein,1879-03-14,Germany,Male,Germany,yes,psychic
1922,Chemistry,1/1,180,Individual,Francis William Aston,1877-09-01,United Kingdom,Male,United Kingdom,no,
1922,Medicine,1/2,311,Individual,Archibald Vivian Hill,1886-09-26,United Kingdom,Male,United Kingdom,no,
1922,Medicine,1/2,312,Individual,Otto Fritz Meyerhof,1884-04-12,Germany,Male,Germany,no,
1922,Physics,1/1,27,Individual,Niels Henrik David Bohr,1885-10-07,Denmark,Male,Denmark,no,
1923,Chemistry,1/1,181,Individual,Fritz Pregl,1869-09-03,Austria-Hungary (Slovenia),Male,Austria,no,
1923,Medicine,1/2,313,Individual,Frederick Grant Banting,1891-11-14,Canada,Male,Canada,no,
1923,Medicine,1/2,314,Individual,John James Rickard Macleod,1876-09-06,Scotland,Male,Canada,no,
1923,Physics,1/1,28,Individual,Robert Andrews Millikan,1868-03-22,United States of America,Male,United States of America,no,
1924,Medicine,1/1,315,Individual,Willem Einthoven,1860-05-21,"Java, Dutch East Indies (Indonesia)",Male,Netherlands,no,
1924,Physics,1/1,29,Individual,Karl Manne Georg Siegbahn,1886-12-03,Sweden,Male,Sweden,no,
1925,Chemistry,1/1,182,Individual,Richard Adolf Zsigmondy,1865-04-01,Austrian Empire (Austria),Male,Germany,no,
1925,Physics,1/2,30,Individual,James Franck,1882-08-26,Germany,Male,Germany,no,
1925,Physics,1/2,31,Individual,Gustav Ludwig Hertz,1887-07-22,Germany,Male,Germany,no,
1926,Chemistry,1/1,183,Individual,The (Theodor) Svedberg,1884-08-30,Sweden,Male,Sweden,no,
1926,Medicine,1/1,316,Individual,Johannes Andreas Grib Fibiger,1867-04-23,Denmark,Male,Denmark,no,
1926,Physics,1/1,32,Individual,Jean Baptiste Perrin,1870-09-30,France,Male,France,no,
1927,Chemistry,1/1,184,Individual,Heinrich Otto Wieland,1877-06-04,Germany,Male,Germany,no,
1927,Medicine,1/1,317,Individual,Julius Wagner-Jauregg,1857-03-07,Austria,Male,Austria,no,
1927,Physics,1/2,33,Individual,Arthur Holly Compton,1892-09-10,United States of America,Male,United States of America,no,
1927,Physics,1/2,34,Individual,Charles Thomson Rees Wilson,1869-02-14,Scotland,Male,United Kingdom,no,
1928,Chemistry,1/1,185,Individual,Adolf Otto Reinhold Windaus,1876-12-25,Germany,Male,Germany,no,
1928,Medicine,1/1,318,Individual,Charles Jules Henri Nicolle,1866-09-21,France,Male,,no,
1928,Physics,1/1,35,Individual,Owen Willans Richardson,1879-04-26,United Kingdom,Male,United Kingdom,no,
1929,Chemistry,1/2,186,Individual,Arthur Harden,1865-10-12,United Kingdom,Male,United Kingdom,no,
1929,Chemistry,1/2,187,Individual,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Germany,Male,Sweden,no,
1929,Medicine,1/2,319,Individual,Christiaan Eijkman,1858-08-11,Netherlands,Male,Netherlands,no,
1929,Medicine,1/2,320,Individual,Sir Frederick Gowland Hopkins,1861-06-20,United Kingdom,Male,United Kingdom,no,
1929,Physics,1/1,36,Individual,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,France,Male,France,no,
1930,Chemistry,1/1,188,Individual,Hans Fischer,1881-07-27,Germany,Male,Germany,no,
1930,Medicine,1/1,321,Individual,Karl Landsteiner,1868-06-14,Austrian Empire (Austria),Male,United States of America,no,
1930,Physics,1/1,37,Individual,Sir Chandrasekhara Venkata Raman,1888-11-07,India,Male,India,no,
1931,Chemistry,1/2,189,Individual,Carl Bosch,1874-08-27,Germany,Male,Germany,no,
1931,Chemistry,1/2,189,Individual,Carl Bosch,1874-08-27,Germany,Male,Germany,no,
1931,Chemistry,1/2,190,Individual,Friedrich Bergius,1884-10-11,Germany (Poland),Male,Germany,no,
1931,Chemistry,1/2,190,Individual,Friedrich Bergius,1884-10-11,Germany (Poland),Male,Germany,no,
1931,Medicine,1/1,322,Individual,Otto Heinrich Warburg,1883-10-08,Germany,Male,Germany,no,
1932,Chemistry,1/1,191,Individual,Irving Langmuir,1881-01-31,United States of America,Male,United States of America,no,
1932,Medicine,1/2,323,Individual,Sir Charles Scott Sherrington,1857-11-27,United Kingdom,Male,United Kingdom,no,
1932,Medicine,1/2,324,Individual,Edgar Douglas Adrian,1889-11-30,United Kingdom,Male,United Kingdom,no,
1932,Physics,1/1,38,Individual,Werner Karl Heisenberg,1901-12-05,Germany,Male,Germany,no,
1933,Medicine,1/1,325,Individual,Thomas Hunt Morgan,1866-09-25,United States of America,Male,United States of America,no,
1933,Physics,1/2,39,Individual,Erwin Schrödinger,1887-08-12,Austria,Male,Germany,yes,Quantum mysticism and global consciousness
1933,Physics,1/2,40,Individual,Paul Adrien Maurice Dirac,1902-08-08,United Kingdom,Male,United Kingdom,,
1934,Chemistry,1/1,192,Individual,Harold Clayton Urey,1893-04-29,United States of America,Male,United States of America,no,
1934,Medicine,1/3,326,Individual,George Hoyt Whipple,1878-08-28,United States of America,Male,United States of America,no,
1934,Medicine,1/3,327,Individual,George Richards Minot,1885-12-02,United States of America,Male,United States of America,no,
1934,Medicine,1/3,328,Individual,William Parry Murphy,1892-02-06,United States of America,Male,United States of America,no,
1934,Medicine,1/3,328,Individual,William Parry Murphy,1892-02-06,United States of America,Male,United States of America,no,
1935,Chemistry,1/2,193,Individual,Frédéric Joliot,1900-03-19,France,Male,France,no,
1935,Chemistry,1/2,194,Individual,Irène Joliot-Curie,1897-09-12,France,Female,France,no,
1935,Medicine,1/1,329,Individual,Hans Spemann,1869-06-27,W&uuml;rttemberg (Germany),Male,Germany,no,
1935,Physics,1/1,41,Individual,James Chadwick,1891-10-20,United Kingdom,Male,United Kingdom,no,
1936,Chemistry,1/1,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Netherlands,Male,Germany,no,
1936,Chemistry,1/1,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Netherlands,Male,Germany,no,
1936,Medicine,1/2,330,Individual,Sir Henry Hallett Dale,1875-06-09,United Kingdom,Male,United Kingdom,no,
1936,Medicine,1/2,331,Individual,Otto Loewi,1873-06-03,Germany,Male,Austria,no,
1936,Physics,1/2,42,Individual,Victor Franz Hess,1883-06-24,Austria,Male,Austria,no,
1936,Physics,1/2,43,Individual,Carl David Anderson,1905-09-03,United States of America,Male,United States of America,no,
1937,Chemistry,1/2,196,Individual,Walter Norman Haworth,1883-03-19,United Kingdom,Male,United Kingdom,no,
1937,Chemistry,1/2,197,Individual,Paul Karrer,1889-04-21,Russia,Male,Switzerland,no,
1937,Medicine,1/1,332,Individual,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Austria-Hungary (Hungary),Male,Hungary,no,
1937,Physics,1/2,44,Individual,Clinton Joseph Davisson,1881-10-22,United States of America,Male,United States of America,no,
1937,Physics,1/2,45,Individual,George Paget Thomson,1892-05-03,United Kingdom,Male,United Kingdom,no,
1938,Chemistry,1/1,198,Individual,Richard Kuhn,1900-12-03,Austria-Hungary (Austria),Male,Germany,no,
1938,Chemistry,1/1,198,Individual,Richard Kuhn,1900-12-03,Austria-Hungary (Austria),Male,Germany,no,
1938,Medicine,1/1,333,Individual,Corneille Jean François Heymans,1892-03-28,Belgium,Male,Belgium,no,
1938,Physics,1/1,46,Individual,Enrico Fermi,1901-09-29,Italy,Male,Italy,no,
1939,Chemistry,1/2,199,Individual,Adolf Friedrich Johann Butenandt,1903-03-24,Germany,Male,Germany,no,
1939,Chemistry,1/2,199,Individual,Adolf Friedrich Johann Butenandt,1903-03-24,Germany,Male,Germany,no,
1939,Chemistry,1/2,200,Individual,Leopold Ruzicka,1887-09-13,Austria-Hungary (Croatia),Male,Switzerland,no,
1939,Medicine,1/1,334,Individual,Gerhard Domagk,1895-10-30,Germany (Poland),Male,Germany,no,
1939,Physics,1/1,47,Individual,Ernest Orlando Lawrence,1901-08-08,United States of America,Male,United States of America,no,
1943,Chemistry,1/1,201,Individual,George de Hevesy,1885-08-01,Austria-Hungary (Hungary),Male,Sweden,no,
1943,Medicine,1/2,335,Individual,Henrik Carl Peter Dam,1895-02-21,Denmark,Male,Denmark,no,
1943,Medicine,1/2,336,Individual,Edward Adelbert Doisy,1893-11-13,United States of America,Male,United States of America,no,
1943,Physics,1/1,48,Individual,Otto Stern,1888-02-17,Germany (Poland),Male,United States of America,yes,Psychokinesis and Pauli effect
1944,Chemistry,1/1,202,Individual,Otto Hahn,1879-03-08,Germany,Male,Germany,no,
1944,Medicine,1/2,337,Individual,Joseph Erlanger,1874-01-05,United States of America,Male,United States of America,no,
1944,Medicine,1/2,338,Individual,Herbert Spencer Gasser,1888-07-05,United States of America,Male,United States of America,no,
1944,Physics,1/1,49,Individual,Isidor Isaac Rabi,1898-07-29,Austria-Hungary (Poland),Male,United States of America,no,
1945,Chemistry,1/1,203,Individual,Artturi Ilmari Virtanen,1895-01-15,Russian Empire (Finland),Male,Finland,no,
1945,Medicine,1/3,339,Individual,Sir Alexander Fleming,1881-08-06,Scotland,Male,United Kingdom,no,
1945,Medicine,1/3,340,Individual,Ernst Boris Chain,1906-06-19,Germany,Male,United Kingdom,yes,Evolution denial
1945,Medicine,1/3,341,Individual,Sir Howard Walter Florey,1898-09-24,Australia,Male,United Kingdom,no,
1945,Physics,1/1,50,Individual,Wolfgang Pauli,1900-04-25,Austria,Male,United States of America,yes,"Pauli effect, psychokinesis and paranormal"
1946,Chemistry,1/2,204,Individual,James Batcheller Sumner,1887-11-19,United States of America,Male,United States of America,no,
1946,Chemistry,1/4,205,Individual,John Howard Northrop,1891-07-05,United States of America,Male,United States of America,no,
1946,Chemistry,1/4,206,Individual,Wendell Meredith Stanley,1904-08-16,United States of America,Male,United States of America,no,
1946,Medicine,1/1,342,Individual,Hermann Joseph Muller,1890-12-21,United States of America,Male,United States of America,no,
1946,Physics,1/1,51,Individual,Percy Williams Bridgman,1882-04-21,United States of America,Male,United States of America,no,
1947,Chemistry,1/1,207,Individual,Sir Robert Robinson,1886-09-13,United Kingdom,Male,United Kingdom,no,
1947,Medicine,1/4,343,Individual,Carl Ferdinand Cori,1896-12-05,Austria-Hungary (Czech Republic),Male,United States of America,no,
1947,Medicine,1/4,344,Individual,"Gerty Theresa Cori, née Radnitz",1896-08-15,Austria-Hungary (Czech Republic),Female,United States of America,no,
1947,Medicine,1/2,345,Individual,Bernardo Alberto Houssay,1887-04-10,Argentina,Male,Argentina,no,
1947,Physics,1/1,52,Individual,Sir Edward Victor Appleton,1892-09-06,United Kingdom,Male,United Kingdom,no,
1948,Chemistry,1/1,208,Individual,Arne Wilhelm Kaurin Tiselius,1902-08-10,Sweden,Male,Sweden,no,
1948,Medicine,1/1,346,Individual,Paul Hermann Müller,1899-01-12,Switzerland,Male,Switzerland,no,
1948,Physics,1/1,53,Individual,Patrick Maynard Stuart Blackett,1897-11-18,United Kingdom,Male,United Kingdom,no,
1949,Chemistry,1/1,209,Individual,William Francis Giauque,1895-05-12,Canada,Male,United States of America,no,
1949,Medicine,1/2,347,Individual,Walter Rudolf Hess,1881-03-17,Switzerland,Male,Switzerland,no,
1949,Medicine,1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Portugal,Male,Portugal,no,
1949,Medicine,1/2,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Portugal,Male,Portugal,no,
1949,Physics,1/1,54,Individual,Hideki Yukawa,1907-01-23,Japan,Male,Japan,yes,"Intuition and mysticism superior to logic and reason, anti-science and Taoist relativism"
1949,Physics,1/1,54,Individual,Hideki Yukawa,1907-01-23,Japan,Male,United States of America,no,
1950,Chemistry,1/2,210,Individual,Otto Paul Hermann Diels,1876-01-23,Germany,Male,Federal Republic of Germany,no,
1950,Chemistry,1/2,211,Individual,Kurt Alder,1902-07-10,Prussia (Poland),Male,Federal Republic of Germany,no,
1950,Medicine,1/3,349,Individual,Edward Calvin Kendall,1886-03-08,United States of America,Male,United States of America,no,
1950,Medicine,1/3,350,Individual,Tadeus Reichstein,1897-07-20,Poland,Male,Switzerland,no,
1950,Medicine,1/3,351,Individual,Philip Showalter Hench,1896-02-28,United States of America,Male,United States of America,no,
1950,Physics,1/1,55,Individual,Cecil Frank Powell,1903-12-05,United Kingdom,Male,United Kingdom,no,
1951,Chemistry,1/2,212,Individual,Edwin Mattison McMillan,1907-09-18,United States of America,Male,United States of America,no,
1951,Chemistry,1/2,213,Individual,Glenn Theodore Seaborg,1912-04-19,United States of America,Male,United States of America,no,
1951,Medicine,1/1,352,Individual,Max Theiler,1899-01-30,South Africa,Male,United States of America,no,
1951,Physics,1/2,56,Individual,Sir John Douglas Cockcroft,1897-05-27,United Kingdom,Male,United Kingdom,no,
1951,Physics,1/2,57,Individual,Ernest Thomas Sinton Walton,1903-10-06,Ireland,Male,Ireland,no,
1952,Chemistry,1/2,214,Individual,Archer John Porter Martin,1910-03-01,United Kingdom,Male,United Kingdom,no,
1952,Chemistry,1/2,215,Individual,Richard Laurence Millington Synge,1914-10-28,United Kingdom,Male,United Kingdom,no,
1952,Medicine,1/1,353,Individual,Selman Abraham Waksman,1888-07-22,Russian Empire (Ukraine),Male,United States of America,no,
1952,Physics,1/2,58,Individual,Felix Bloch,1905-10-23,Switzerland,Male,United States of America,no,
1952,Physics,1/2,59,Individual,Edward Mills Purcell,1912-08-30,United States of America,Male,United States of America,no,
1953,Chemistry,1/1,216,Individual,Hermann Staudinger,1881-03-23,Germany,Male,Federal Republic of Germany,no,
1953,Chemistry,1/1,216,Individual,Hermann Staudinger,1881-03-23,Germany,Male,Federal Republic of Germany,no,
1953,Medicine,1/2,354,Individual,Hans Adolf Krebs,1900-08-25,Germany,Male,United Kingdom,no,
1953,Medicine,1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Germany (Russia),Male,United States of America,no,
1953,Medicine,1/2,355,Individual,Fritz Albert Lipmann,1899-06-12,Germany (Russia),Male,United States of America,no,
1953,Physics,1/1,60,Individual,Frits Zernike,1888-07-16,Netherlands,Male,Netherlands,no,
1954,Chemistry,1/1,217,Individual,Linus Carl Pauling,1901-02-28,United States of America,Male,United States of America,yes,Vitamin C quackery/orthomolecular medicine
1954,Medicine,1/3,356,Individual,John Franklin Enders,1897-02-10,United States of America,Male,United States of America,no,
1954,Medicine,1/3,356,Individual,John Franklin Enders,1897-02-10,United States of America,Male,United States of America,no,
1954,Medicine,1/3,357,Individual,Thomas Huckle Weller,1915-06-15,United States of America,Male,United States of America,no,
1954,Medicine,1/3,358,Individual,Frederick Chapman Robbins,1916-08-25,United States of America,Male,United States of America,no,
1954,Physics,1/2,61,Individual,Max Born,1882-12-11,Germany (Poland),Male,United Kingdom,no,
1954,Physics,1/2,62,Individual,Walther Bothe,1891-01-08,Germany,Male,Federal Republic of Germany,no,
1954,Physics,1/2,62,Individual,Walther Bothe,1891-01-08,Germany,Male,Federal Republic of Germany,no,
1955,Chemistry,1/1,218,Individual,Vincent du Vigneaud,1901-05-18,United States of America,Male,United States of America,no,
1955,Medicine,1/1,359,Individual,Axel Hugo Theodor Theorell,1903-07-06,Sweden,Male,Sweden,no,
1955,Physics,1/2,63,Individual,Willis Eugene Lamb,1913-07-12,United States of America,Male,United States of America,no,
1955,Physics,1/2,64,Individual,Polykarp Kusch,1911-01-26,Germany,Male,United States of America,no,
1956,Chemistry,1/2,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,United Kingdom,Male,United Kingdom,no,
1956,Chemistry,1/2,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Russia,Male,Union of Soviet Socialist Republics,no,
1956,Medicine,1/3,360,Individual,André Frédéric Cournand,1895-09-24,France,Male,United States of America,no,
1956,Medicine,1/3,361,Individual,Werner Forssmann,1904-08-29,Germany,Male,Federal Republic of Germany,no,
1956,Medicine,1/3,361,Individual,Werner Forssmann,1904-08-29,Germany,Male,Federal Republic of Germany,no,
1956,Medicine,1/3,362,Individual,Dickinson W. Richards,1895-10-30,United States of America,Male,United States of America,no,
1956,Physics,1/3,65,Individual,William Bradford Shockley,1910-02-13,United Kingdom,Male,United States of America,yes,Racialism and eugenics
1956,Physics,1/3,66,Individual,John Bardeen,1908-05-23,United States of America,Male,United States of America,no,
1956,Physics,1/3,67,Individual,Walter Houser Brattain,1902-02-10,China,Male,United States of America,no,
1957,Chemistry,1/1,221,Individual,Lord (Alexander R.) Todd,1907-10-02,Scotland,Male,United Kingdom,no,
1957,Medicine,1/1,363,Individual,Daniel Bovet,1907-03-23,Switzerland,Male,Italy,no,
1957,Physics,1/2,68,Individual,Chen Ning Yang,1922-09-22,China,Male,United States of America,no,
1957,Physics,1/2,69,Individual,Tsung-Dao (T.D.) Lee,1926-11-24,China,Male,United States of America,no,
1958,Chemistry,1/1,222,Individual,Frederick Sanger,1918-08-13,United Kingdom,Male,United Kingdom,no,
1958,Medicine,1/4,364,Individual,George Wells Beadle,1903-10-22,United States of America,Male,United States of America,no,
1958,Medicine,1/4,365,Individual,Edward Lawrie Tatum,1909-12-14,United States of America,Male,United States of America,no,
1958,Medicine,1/2,366,Individual,Joshua Lederberg,1925-05-23,United States of America,Male,United States of America,no,
1958,Physics,1/3,70,Individual,Pavel Alekseyevich Cherenkov,1904-07-28,Russia,Male,Union of Soviet Socialist Republics,no,
1958,Physics,1/3,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Russia,Male,Union of Soviet Socialist Republics,no,
1958,Physics,1/3,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Russia,Male,Union of Soviet Socialist Republics,no,
1958,Physics,1/3,721,Individual,Il´ja Mikhailovich Frank,1908-10-23,Russia,Male,Union of Soviet Socialist Republics,no,
1958,Physics,1/3,721,Individual,Il´ja Mikhailovich Frank,1908-10-23,Russia,Male,Union of Soviet Socialist Republics,no,
1959,Chemistry,1/1,223,Individual,Jaroslav Heyrovsky,1890-12-20,Austria-Hungary (Czech Republic),Male,Czechoslovakia,no,
1959,Medicine,1/2,367,Individual,Severo Ochoa,1905-09-24,Spain,Male,United States of America,no,
1959,Medicine,1/2,368,Individual,Arthur Kornberg,1918-03-03,United States of America,Male,United States of America,no,
1959,Physics,1/2,72,Individual,Emilio Gino Segrè,1905-02-01,Italy,Male,United States of America,no,
1959,Physics,1/2,73,Individual,Owen Chamberlain,1920-07-10,United States of America,Male,United States of America,no,
1960,Chemistry,1/1,224,Individual,Willard Frank Libby,1908-12-17,United States of America,Male,United States of America,no,
1960,Medicine,1/2,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Australia,Male,Australia,no,
1960,Medicine,1/2,370,Individual,Peter Brian Medawar,1915-02-28,Brazil,Male,United Kingdom,no,
1960,Physics,1/1,74,Individual,Donald Arthur Glaser,1926-09-21,United States of America,Male,United States of America,no,
1961,Chemistry,1/1,225,Individual,Melvin Calvin,1911-04-08,United States of America,Male,United States of America,no,
1961,Medicine,1/1,371,Individual,Georg von Békésy,1899-06-03,Hungary,Male,United States of America,no,
1961,Physics,1/2,75,Individual,Robert Hofstadter,1915-02-05,United States of America,Male,United States of America,no,
1961,Physics,1/2,76,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Germany,Male,Federal Republic of Germany,no,
1961,Physics,1/2,76,Individual,Rudolf Ludwig Mössbauer,1929-01-31,Germany,Male,United States of America,no,
1962,Chemistry,1/2,226,Individual,Max Ferdinand Perutz,1914-05-19,Austria,Male,United Kingdom,no,
1962,Chemistry,1/2,227,Individual,John Cowdery Kendrew,1917-03-24,United Kingdom,Male,United Kingdom,no,
1962,Medicine,1/3,372,Individual,Francis Harry Compton Crick,1916-06-08,United Kingdom,Male,United Kingdom,no,
1962,Medicine,1/3,373,Individual,James Dewey Watson,1928-04-06,United States of America,Male,United States of America,yes,racialism
1962,Medicine,1/3,374,Individual,Maurice Hugh Frederick Wilkins,1916-12-15,New Zealand,Male,United Kingdom,no,
1962,Physics,1/1,77,Individual,Lev Davidovich Landau,1908-01-22,Russian Empire (Azerbaijan),Male,Union of Soviet Socialist Republics,no,
1963,Chemistry,1/2,228,Individual,Karl Ziegler,1898-11-26,Germany,Male,Federal Republic of Germany,no,
1963,Chemistry,1/2,229,Individual,Giulio Natta,1903-02-26,Italy,Male,Italy,no,
1963,Medicine,1/3,375,Individual,Sir John Carew Eccles,1903-01-27,Australia,Male,Australia,yes,Quantum mysticism
1963,Medicine,1/3,376,Individual,Alan Lloyd Hodgkin,1914-02-05,United Kingdom,Male,United Kingdom,no,
1963,Medicine,1/3,377,Individual,Andrew Fielding Huxley,1917-11-22,United Kingdom,Male,United Kingdom,no,
1963,Physics,1/2,78,Individual,Eugene Paul Wigner,1902-11-17,Austria-Hungary (Hungary),Male,United States of America,yes,Quantum mysticism
